_key,_tei_file,study_id,author_name,year_of_publication,program_name,country,year_intervention_started,evaluation_design,intervention_description,exposure_to_intervention,length_of_follow_up,intervention_start_year,intervention_start_month,intervention_end_year,intervention_end_month,final_followup_year,final_followup_month,evaluation_design_code,evaluation_method,evaluation_method_code,sample_size_treatment,sample_size_control,outcome_name,outcome_description,effect_size,p_value,standard_error,confidence_interval_lower,confidence_interval_upper,literal_text,text_position,outcome_timepoint_label,outcome_measurement_year,outcome_measurement_month,months_since_intervention_end,timepoint_value,timepoint_unit,timepoint_origin,months_since_intervention_end_computed,timing_confidence,timing_evidence,outcome_timing_literal_text,outcome_timing_text_position,component_consumption_support,component_healthcare,component_assets,component_skills_training,component_savings,component_coaching,component_social_empowerment
RSAW8CHM.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/RSAW8CHM.tei.xml,,,,,,,,,,,,,,,,,,,,,,Household food security index,"Inverse Food Insecurity Experience Scale (FIES), 12-month recall",0.47,,,,,,,,,,,18.0,months,intervention_end,18.0,high,2nd follow-up survey explicitly measured at 18 months post-intervention,,,,,,,,,
RSAW8CHM.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/RSAW8CHM.tei.xml,,,,,,,,,,,,,,,,,,,,,,Dietary diversity score,Food Consumption Score over 7 days,2.78,,,,,,,,,,,18.0,months,intervention_end,18.0,high,2nd follow-up survey explicitly measured at 18 months post-intervention,,,,,,,,,
TSGTVT7T.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/TSGTVT7T.tei.xml,,,,Challenging the Frontiers of Poverty Reduction (CFPR),Bangladesh,2007.0,Randomized Controlled Trial (RCT),"Grant-based approach addressing extreme poverty through asset transfer, subsistence allowance, and livelihood support services",24,12,2007.0,,,,2008.0,11.0,1,Difference-in-Difference,5,385.0,305.0,House value,Value of houses (in BDT),1197.0,0.05,,,,value of the houses went up by BDT 1197 (US $ 17.16) due to programme participation and this increase was found to be statistically significant at the 5% level,"Results section, Page 12, Paragraph 1",12-month follow-up,2008.0,11.0,12,12.0,months,intervention_start,12.0,high,"Baseline survey in 2007, follow-up survey in 2008, clear intervention start and follow-up timing","repeat survey was held in October-November, 2008",Methodology section,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TSGTVT7T.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/TSGTVT7T.tei.xml,,,,Challenging the Frontiers of Poverty Reduction (CFPR),Bangladesh,2007.0,Randomized Controlled Trial (RCT),"Grant-based approach addressing extreme poverty through asset transfer, subsistence allowance, and livelihood support services",24,12,2007.0,,,,2008.0,11.0,1,Difference-in-Difference,5,385.0,305.0,Cash savings,Cash savings (in BDT),1564.0,,,,,effect on savings was found to be BDT 1564 (US $22.42) per participant woman on average,"Results section, Page 12, Paragraph 1",12-month follow-up,2008.0,11.0,12,12.0,months,intervention_start,12.0,high,"Baseline survey in 2007, follow-up survey in 2008, clear intervention start and follow-up timing","repeat survey was held in October-November, 2008",Methodology section,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TSGTVT7T.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/TSGTVT7T.tei.xml,,,,Challenging the Frontiers of Poverty Reduction (CFPR),Bangladesh,2007.0,Randomized Controlled Trial (RCT),"Grant-based approach addressing extreme poverty through asset transfer, subsistence allowance, and livelihood support services",24,12,2007.0,,,,2008.0,11.0,1,Difference-in-Difference,5,385.0,305.0,Sanitary latrine holdings,Percentage of households with sanitary latrines,36.0,,,,,sanitary latrine holdings increased by 36% among the participant households as a net effect of the programme,"Results section, Page 12, Paragraph 1",12-month follow-up,2008.0,11.0,12,12.0,months,intervention_start,12.0,high,"Baseline survey in 2007, follow-up survey in 2008, clear intervention start and follow-up timing","repeat survey was held in October-November, 2008",Methodology section,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TSGTVT7T.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/TSGTVT7T.tei.xml,,,,Challenging the Frontiers of Poverty Reduction (CFPR),Bangladesh,2007.0,Randomized Controlled Trial (RCT),"Grant-based approach addressing extreme poverty through asset transfer, subsistence allowance, and livelihood support services",24,12,2007.0,,,,2008.0,11.0,1,Difference-in-Difference,5,385.0,305.0,Social awareness index,Awareness index based on 9 social/legal indicators,,0.01,,,,difference-in-difference of the awareness index bears positive sign and is statistically significant 1% level,"Results section, Page 12, Paragraph 2",12-month follow-up,2008.0,11.0,12,12.0,months,intervention_start,12.0,high,"Baseline survey in 2007, follow-up survey in 2008, clear intervention start and follow-up timing","repeat survey was held in October-November, 2008",Methodology section,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TSGTVT7T.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/TSGTVT7T.tei.xml,,,,Challenging the Frontiers of Poverty Reduction (CFPR),Bangladesh,2007.0,Randomized Controlled Trial (RCT),"Grant-based approach addressing extreme poverty through asset transfer, subsistence allowance, and livelihood support services",24,12,2007.0,,,,2008.0,11.0,1,Difference-in-Difference,5,385.0,305.0,Food expenditure,Total food expenditure (in BDT),16.7,0.05,,,,"expenditure on the total amount of food consumed was found to be, on average, BDT 16.70 more for the treatment households, compared to the control households and this is significant at the 5% level","Results section, Page 12, Paragraph 3",12-month follow-up,2008.0,11.0,12,12.0,months,intervention_start,12.0,high,"Baseline survey in 2007, follow-up survey in 2008, clear intervention start and follow-up timing","repeat survey was held in October-November, 2008",Methodology section,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TUJ6CUI3.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/TUJ6CUI3.tei.xml,,,,Graduation Program,,,Multi-site Randomized Controlled Trial,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",24,36,,,,,,,1,Individual and Cluster RCT,1;2,,,Per capita consumption,Per capita consumption in PPP USD,0.12,0.001,,,,"Per capita consumption increases by 0.12 SDs (q-value 0.001), which is equivalent to PPP US$4.55 per capita per month","Page 7, Table 3",Endline 1,,,,2.0,years,intervention_start,24.0,high,"Endline 1 conducted 2 years after intervention start, immediately following household visits","endline 1 (year 2 of the study, just after the end of the program in most sites)",Page 7,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TUJ6CUI3.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/TUJ6CUI3.tei.xml,,,,Graduation Program,,,Multi-site Randomized Controlled Trial,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",24,36,,,,,,,1,Individual and Cluster RCT,1;2,,,Food security index,Food security index,0.11,0.001,,,,Food security index increases by 0.11 SDs (q-value 0.001),"Page 7, Table 3",Endline 1,,,,2.0,years,intervention_start,24.0,high,"Endline 1 conducted 2 years after intervention start, immediately following household visits","endline 1 (year 2 of the study, just after the end of the program in most sites)",Page 7,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TUJ6CUI3.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/TUJ6CUI3.tei.xml,,,,Graduation Program,,,Multi-site Randomized Controlled Trial,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",24,36,,,,,,,1,Individual and Cluster RCT,1;2,,,Productive and household assets index,Productive and household assets index,0.26,0.001,,,,Assets index increases by 0.26 SDs (q-value 0.001),"Page 7, Table 3",Endline 1,,,,2.0,years,intervention_start,24.0,high,"Endline 1 conducted 2 years after intervention start, immediately following household visits","endline 1 (year 2 of the study, just after the end of the program in most sites)",Page 7,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TUJ6CUI3.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/TUJ6CUI3.tei.xml,,,,Graduation Program,,,Multi-site Randomized Controlled Trial,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",24,36,,,,,,,1,Individual and Cluster RCT,1;2,,,Household income and revenues,Household income and revenues,0.38,0.001,,,,Income and revenues increase by 0.38 SDs (q-value 0.001),"Page 7, Table 3",Endline 1,,,,2.0,years,intervention_start,24.0,high,"Endline 1 conducted 2 years after intervention start, immediately following household visits","endline 1 (year 2 of the study, just after the end of the program in most sites)",Page 7,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TUJ6CUI3.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/TUJ6CUI3.tei.xml,,,,Graduation Program,,,Multi-site Randomized Controlled Trial,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",24,36,,,,,,,1,Individual and Cluster RCT,1;2,,,Physical health index,Physical health index,0.034,0.078,,,,Physical health improves by 0.034 SDs (q-value 0.078),"Page 7, Table 3",Endline 1,,,,2.0,years,intervention_start,24.0,high,"Endline 1 conducted 2 years after intervention start, immediately following household visits","endline 1 (year 2 of the study, just after the end of the program in most sites)",Page 7,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TUJ6CUI3.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/TUJ6CUI3.tei.xml,,,,Graduation Program,,,Multi-site Randomized Controlled Trial,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",24,36,,,,,,,1,Individual and Cluster RCT,1;2,,,Mental health index,Mental health index,0.1,0.001,,,,Mental health improves by 0.10 SDs (q-value 0.001),"Page 7, Table 3",Endline 1,,,,2.0,years,intervention_start,24.0,high,"Endline 1 conducted 2 years after intervention start, immediately following household visits","endline 1 (year 2 of the study, just after the end of the program in most sites)",Page 7,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TUJ6CUI3.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/TUJ6CUI3.tei.xml,,,,Graduation Program,,,Multi-site Randomized Controlled Trial,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",24,36,,,,,,,1,Individual and Cluster RCT,1;2,,,Political involvement index,Political involvement index,0.064,0.001,,,,Political involvement increases by 0.064 SDs (q-value 0.001),"Page 7, Table 3",Endline 1,,,,2.0,years,intervention_start,24.0,high,"Endline 1 conducted 2 years after intervention start, immediately following household visits","endline 1 (year 2 of the study, just after the end of the program in most sites)",Page 7,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TUJ6CUI3.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/TUJ6CUI3.tei.xml,,,,Graduation Program,,,Multi-site Randomized Controlled Trial,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",24,36,,,,,,,1,Individual and Cluster RCT,1;2,,,Women's empowerment index,Women's empowerment index,0.046,0.049,,,,Women's empowerment increases by 0.046 SDs (q-value 0.049),"Page 7, Table 3",Endline 1,,,,2.0,years,intervention_start,24.0,high,"Endline 1 conducted 2 years after intervention start, immediately following household visits","endline 1 (year 2 of the study, just after the end of the program in most sites)",Page 7,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TUJ6CUI3.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/TUJ6CUI3.tei.xml,,,,Graduation Program,,,Multi-site Randomized Controlled Trial,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",24,36,,,,,,,1,Individual and Cluster RCT,1;2,,,Adult labor supply,Adult labor supply (minutes per adult per day),17.5,,,,,Adult labor supply increases by 17.5 min per adult per day (10.4% increase over control households) at endline 1,"Page 7, Results section",Endline 1,,,,2.0,years,intervention_start,24.0,high,"Endline 1 conducted 2 years after intervention start, immediately following household visits","endline 1 (year 2 of the study, just after the end of the program in most sites)",Page 7,Yes,Yes,Yes,Yes,Yes,Yes,Yes
VAUQIN7W.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/VAUQIN7W.tei.xml,,,,,,,,,,,,,,,,,,,,,,Ultra-poverty probability,,,,,,,,,,,,,12.0,months,intervention_start,9.0,high,"Measured one year after intervention start, with clear temporal anchor",,,,,,,,,
VAUQIN7W.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/VAUQIN7W.tei.xml,,,,,,,,,,,,,,,,,,,,,,Agricultural equipment index,,,,,,,,,,,,,24.0,months,intervention_end,9.0,high,Measured during follow-up survey after intervention completion,,,,,,,,,
VAUQIN7W.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/VAUQIN7W.tei.xml,,,,,,,,,,,,,,,,,,,,,,Severe food insecurity,,,,,,,,,,,,,24.0,months,intervention_end,9.0,high,Measured in 2-year follow-up survey after intervention period,,,,,,,,,
VAUQIN7W.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/VAUQIN7W.tei.xml,,,,,,,,,,,,,,,,,,,,,,Dietary diversity score,,,,,,,,,,,,,12.0,months,intervention_start,9.0,high,Significant differences in 1-year and 3-year follow-up surveys,,,,,,,,,
VAUQIN7W.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/VAUQIN7W.tei.xml,,,,,,,,,,,,,,,,,,,,,,Severe stunting,,,,,,,,,,,,,12.0,months,intervention_start,9.0,high,"Measured in 1-year follow-up survey, nine months after intervention start",,,,,,,,,
VAUQIN7W.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/VAUQIN7W.tei.xml,,,,,,,,,,,,,,,,,,,,,,Aspired years of education,,,,,,,,,,,,,24.0,months,intervention_end,9.0,high,"Measured after two years, reflecting household aspirations post-intervention",,,,,,,,,
VAUQIN7W.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/VAUQIN7W.tei.xml,,,,,,,,,,,,,,,,,,,,,,Agricultural revenue,,,,,,,,,,,,,12.0,months,intervention_start,9.0,high,Measured in one-year follow-up survey after intervention start,,,,,,,,,
XIPIMS2M.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/XIPIMS2M.tei.xml,,,,Supporting Women's Livelihoods (SWL),Zambia,2015.0,Randomized Controlled Trial,"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",6,38,2015.0,,,,2023.0,8.0,1,Individual RCT,1,,,Total household consumption per adult equivalent,Consumption measured in standard deviations,0.44,,,,,"Consumption increased by 0.24 standard deviations at 12 months, and 0.44 standard deviations by 38 months","Results section, Table B1",38-month follow-up,2023.0,8.0,38,,,unknown,,low,Timing not reported or not attributable to this estimate.,"Conducted from May-August 2023, slightly over three years after the end of all interventions",Data Collection section,Yes,Not mentioned,Yes,Yes,Yes,Yes,Not mentioned
XIPIMS2M.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/XIPIMS2M.tei.xml,,,,Supporting Women's Livelihoods (SWL),Zambia,2015.0,Randomized Controlled Trial,"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",6,38,2015.0,,,,2023.0,8.0,1,Individual RCT,1,,,Food security index,Food security measured in standard deviations,0.23,,,,,Food security index 0.23 at 38 months,Table B1,38-month follow-up,2023.0,8.0,38,,,unknown,,low,Timing not reported or not attributable to this estimate.,"Conducted from May-August 2023, slightly over three years after the end of all interventions",Data Collection section,Yes,Not mentioned,Yes,Yes,Yes,Yes,Not mentioned
XIPIMS2M.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/XIPIMS2M.tei.xml,,,,Supporting Women's Livelihoods (SWL),Zambia,2015.0,Randomized Controlled Trial,"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",6,38,2015.0,,,,2023.0,8.0,1,Individual RCT,1,,,Asset wealth index,Asset wealth measured in standard deviations,0.28,,,,,Asset values increased by 25% at 38 months,"Results section, Table B1",38-month follow-up,2023.0,8.0,38,,,unknown,,low,Timing not reported or not attributable to this estimate.,"Conducted from May-August 2023, slightly over three years after the end of all interventions",Data Collection section,Yes,Not mentioned,Yes,Yes,Yes,Yes,Not mentioned
XIPIMS2M.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/XIPIMS2M.tei.xml,,,,Supporting Women's Livelihoods (SWL),Zambia,2015.0,Randomized Controlled Trial,"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",6,38,2015.0,,,,2023.0,8.0,1,Individual RCT,1,,,Savings index,Savings measured in standard deviations,0.35,,,,,More than doubled household savings at 38 months,"Results section, Table B1",38-month follow-up,2023.0,8.0,38,,,unknown,,low,Timing not reported or not attributable to this estimate.,"Conducted from May-August 2023, slightly over three years after the end of all interventions",Data Collection section,Yes,Not mentioned,Yes,Yes,Yes,Yes,Not mentioned
XIPIMS2M.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/XIPIMS2M.tei.xml,,,,Supporting Women's Livelihoods (SWL),Zambia,2015.0,Randomized Controlled Trial,"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",6,38,2015.0,,,,2023.0,8.0,1,Individual RCT,1,,,Aggregate household income,Household income measured in standard deviations,0.27,,,,,Household income increased by 0.27 standard deviations by 38 months,"Results section, Table B1",38-month follow-up,2023.0,8.0,38,,,unknown,,low,Timing not reported or not attributable to this estimate.,"Conducted from May-August 2023, slightly over three years after the end of all interventions",Data Collection section,Yes,Not mentioned,Yes,Yes,Yes,Yes,Not mentioned
XIPIMS2M.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/XIPIMS2M.tei.xml,,,,Supporting Women's Livelihoods (SWL),Zambia,2015.0,Randomized Controlled Trial,"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",6,38,2015.0,,,,2023.0,8.0,1,Individual RCT,1,,,Psychological well-being index,Psychological well-being measured in standard deviations,0.36,,,,,Increased perceived happiness and self-esteem,"Results section, Table B1",38-month follow-up,2023.0,8.0,38,,,unknown,,low,Timing not reported or not attributable to this estimate.,"Conducted from May-August 2023, slightly over three years after the end of all interventions",Data Collection section,Yes,Not mentioned,Yes,Yes,Yes,Yes,Not mentioned
XIPIMS2M.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/XIPIMS2M.tei.xml,,,,Supporting Women's Livelihoods (SWL),Zambia,2015.0,Randomized Controlled Trial,"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",6,38,2015.0,,,,2023.0,8.0,1,Individual RCT,1,,,Time use: Paid work for others,Minutes spent on paid work for others,-13.65,,,,,-13.65 (Full Package),Table B13,12-month follow-up,2021.0,8.0,12,,,unknown,,low,Timing not reported or not attributable to this estimate.,First follow-up survey took place between February and August 2021,Data Collection section,Yes,Not mentioned,Yes,Yes,Yes,Yes,Not mentioned
XIPIMS2M.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/XIPIMS2M.tei.xml,,,,Supporting Women's Livelihoods (SWL),Zambia,2015.0,Randomized Controlled Trial,"Multi-arm RCT providing rural women with: (1) productive grant of US$225, (2) 21-session life/business skills training, (3) support to form savings groups, (4) six months of group mentoring",6,38,2015.0,,,,2023.0,8.0,1,Individual RCT,1,,,Time use: Own business,Minutes spent on own business,4.05,,,,,4.05 (Full Package),Table B13,12-month follow-up,2021.0,8.0,12,,,unknown,,low,Timing not reported or not attributable to this estimate.,First follow-up survey took place between February and August 2021,Data Collection section,Yes,Not mentioned,Yes,Yes,Yes,Yes,Not mentioned
